Visit Date,Month,Year,Year_Month,Client ID,Client First Visit- Personal Tab,Client First Visit-Date,Client Preferred Agency,Dietary Considerations,Social Assistance,Program Type,Individuals Served,Visit Reasons,Referrals Provided
6/1/21,6,2021,202106,6855251,7/9/21,7/9/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/1/21,6,2021,202106,4152127,1/28/20,1/28/20,15th Ave Baptist Village Manor,,,tefap_food_bank,6,Debt,No Referral no_referral
6/1/21,6,2021,202106,4162356,1/28/20,1/28/20,15th Ave Baptist Village Manor,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/1/21,6,2021,202106,6678392,6/1/21,6/1/21,The Branch,,SNAP (Food Stamps),tefap_food_bank,6,"Unemployed/Recently Lost Job,Low Wages/Not Enough Hours",No Referral no_referral
6/1/21,6,2021,202106,6678426,6/1/21,6/1/21,The Branch,,,tefap_food_bank,2,Ongoing Need,SNAP social_services
6/1/21,6,2021,202106,6678435,6/1/21,6/1/21,The Branch,,,tefap_food_bank,4,"Low Wages/Not Enough Hours,Ongoing Need",No Referral no_referral
6/1/21,6,2021,202106,6678070,6/1/21,6/1/21,The Branch,,SNAP (Food Stamps),tefap_food_bank,3,Low Wages/Not Enough Hours,SNAP social_services
6/1/21,6,2021,202106,6678442,6/1/21,6/1/21,The Branch,,,tefap_food_bank,5,"Low Wages/Not Enough Hours,Ongoing Need",No Referral no_referral
6/1/21,6,2021,202106,6675577,6/1/21,6/1/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/1/21,6,2021,202106,6675359,6/1/21,6/1/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/1/21,6,2021,202106,6678452,6/1/21,6/1/21,The Branch,,,tefap_food_bank,5,"Relocation / Moving,Low Wages/Not Enough Hours",No Referral no_referral
6/1/21,6,2021,202106,6675638,6/1/21,6/1/21,The Branch,,,tefap_food_bank,7,Ongoing Need,No Referral no_referral
6/3/21,6,2021,202106,3615214,10/31/19,10/31/19,Radnor Towers,,"SNAP (Food Stamps), Public Housing (PH)",tefap_food_bank,2,"Low Wages/Not Enough Hours,Ongoing Need",No Referral no_referral
6/3/21,6,2021,202106,6687508,6/3/21,6/3/21,The Branch,,,tefap_food_bank,1,Unemployed/Recently Lost Job,SNAP social_services
6/3/21,6,2021,202106,4757292,5/23/20,5/23/20,Hamilton United Methodist Church,,,non_tefap_market,5,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,5520471,10/29/20,10/29/20,Rural Hill Church of Christ,,,non_tefap_market,2,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6687992,6/3/21,6/3/21,The Branch,,,tefap_food_bank,3,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4149245,1/28/20,1/28/20,15th Ave Baptist Village Manor,,,tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/3/21,6,2021,202106,6642231,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Unexpected Expense,No Referral no_referral
6/3/21,6,2021,202106,6688196,6/3/21,6/3/21,The Branch,,,tefap_food_bank,4,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4626293,4/17/20,4/17/20,Martha O'Bryan Center,,,tefap_food_bank,3,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,3613416,10/31/19,10/31/19,Radnor Towers,,Public Housing (PH),tefap_food_bank,1,Ongoing Need,No Referral no_referral
6/3/21,6,2021,202106,6688330,6/3/21,6/3/21,The Branch,,,tefap_food_bank,2,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4158685,1/28/20,1/28/20,15th Ave Baptist Village Manor,,SNAP (Food Stamps),tefap_food_bank,7,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,4686890,5/1/20,5/1/20,Martha O'Bryan Center,,,tefap_food_bank,5,Low Wages/Not Enough Hours,No Referral no_referral
6/3/21,6,2021,202106,6688546,6/3/21,6/3/21,The Branch,,,tefap_food_bank,1,"Low Wages/Not Enough Hours,Ongoing Need",No Referral no_referral
